word,sentiment,count
degree,positive,9
delays,neutral,3
delegates,neutral,3
delivering,neutral,5
demand,positive,3
democratic,neutral,3
demonstrated,positive,3
departments,positive,3
deposit,positive,6
depth,positive,4
deputy,positive,3
derby,neutral,4
desk,neutral,3
despite,neutral,4
despite,positive,3
details,positive,3
detective,positive,3
detectives,neutral,4
development,neutral,7
development,positive,4
devolution,positive,3
diamond,neutral,4
diaspora,positive,4
didacus,neutral,3
died,neutral,9
dies,positive,3
diesel,neutral,3
difference,neutral,5
different,neutral,4
different,positive,9
difficult,positive,3
digital,neutral,21
digital,positive,16
directed,positive,3
directly,neutral,5
director,positive,4
discharged,neutral,3
discussions,neutral,3
diverse,positive,4
dna,neutral,4
doctor,positive,3
doha,neutral,3
dont,neutral,9
dont,positive,8
door,positive,5
drawing,positive,3
due,neutral,12
due,positive,3
dumped,neutral,3
earlier,neutral,3
earlier,positive,4
early,neutral,4
early,positive,6
earning,neutral,4
earnings,positive,3
eating,positive,4
economic,positive,5
economics,positive,3
editor,neutral,43
editor,positive,34
education,neutral,5
education,positive,4
edwin,neutral,4
edwin,positive,3
effective,positive,4
eight,neutral,3
eight,positive,9
either,positive,3
electoral,neutral,3
elevated,positive,3
elite,neutral,4
eliud,neutral,3
else,positive,4
email,neutral,16
email,positive,9
emirates,neutral,3
emotional,positive,4
encompassing,positive,3
end,neutral,11
end,positive,3
energy,positive,3
engagement,positive,5
engagements,neutral,5
engaging,positive,6
enhances,positive,3
enough,positive,4
enroll,neutral,5
ensure,positive,3
entertainment,positive,3
entire,positive,4
epra,neutral,3
eric,neutral,3
especially,positive,3
esports,neutral,3
essential,positive,3
estimated,neutral,5
estimated,positive,3
evaluating,positive,3
even,neutral,12
even,positive,6
event,positive,7
events,positive,3
every,positive,6
everyone,positive,3
exact,positive,3
example,positive,5
examples,positive,3
except,neutral,3
exchange,neutral,3
executive,neutral,3
executive,positive,5
expected,neutral,4
experience,neutral,27
experience,positive,31
experiences,positive,4
experimenting,positive,3
express,positive,5
expressed,neutral,5
extra,positive,3
face,positive,5
facebook,neutral,4
facility,neutral,3
fair,positive,3
faith,neutral,15
faithchandianyatukocoke,neutral,3
familiar,positive,3
family,neutral,11
family,positive,10
famous,positive,3
fans,neutral,7
fans,positive,12
farmers,positive,4
fashion,positive,6
fast,neutral,3
fastestgrowing,neutral,7
father,positive,5
favourite,neutral,11
favourite,positive,8
fc,neutral,7
fear,positive,3
featured,positive,3
february,neutral,4
federation,neutral,3
federation,positive,3
feed,positive,3
feel,positive,5
fees,positive,4
felt,positive,3
femnet,neutral,7
femnet,positive,5
fertiliser,positive,4
festival,positive,3
field,positive,3
fifa,neutral,3
figure,positive,5
film,positive,18
final,neutral,4
finance,positive,6
financial,positive,3
find,neutral,8
find,positive,7
fine,neutral,3
finishing,positive,3
fintech,neutral,3
first,neutral,13
first,positive,21
fitting,positive,3
fkf,negative,4
fkf,neutral,4
flat,neutral,4
flexible,neutral,3
flexible,positive,3
florida,positive,5
following,neutral,11
food,positive,16
football,neutral,3
foreigner,positive,3
form,neutral,3
formats,positive,3
former,neutral,13
former,positive,5
forward,neutral,3
found,neutral,8
foundation,positive,3
four,neutral,15
four,positive,5
fourth,neutral,3
france,positive,3
friday,neutral,7
friend,positive,4
friends,positive,4
fuel,neutral,4
full,neutral,7
full,positive,4
functions,positive,5
fund,positive,3
funding,positive,4
funds,positive,4
furthermore,neutral,3
future,neutral,3
future,positive,5
gained,positive,4
gaining,neutral,3
gala,positive,3
game,positive,7
gamers,positive,3
games,neutral,4
games,positive,10
gaming,positive,12
gap,positive,4
garissa,neutral,3
general,neutral,5
general,positive,3
generations,positive,3
george,positive,8
gerrod,positive,3
get,neutral,4
get,positive,10
ghafla,neutral,7
ghafla,positive,5
girl,positive,3
girlfriend,positive,8
girls,neutral,3
girls,positive,11
gitau,neutral,3
give,neutral,3
give,positive,3
given,neutral,3
given,positive,5
global,neutral,10
global,positive,5
globally,neutral,4
go,neutral,6
go,positive,4
goal,positive,3
goals,neutral,5
